 redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err sdss.up sdss.up_err sdss.gp sdss.gp_err sdss.rp sdss.rp_err sdss.ip sdss.ip_err sdss.zp sdss.zp_err
0.001825 T17-2872 1.068923e-02 5.344617e-03 1.015094e-02 5.075469e-03 2.410496e-02 1.205248e-02 0.000000e+00 9.900000e+01 3.237120e-02 7.192990e-03 3.587641e-02 4.015614e-03 3.604801e-02 9.912941e-03 6.434150e-03 1.777821e-04 2.208204e-02 4.067663e-04 3.527460e-02 3.248911e-04 4.649579e-02 4.282420e-04 5.122803e-02 9.436551e-04
0.001825 T17-2829 5.784335e-03 2.892167e-03 7.689843e-04 3.844921e-04 1.770806e-02 8.854028e-03 2.129534e-02 1.007535e-02 4.118480e-02 7.640805e-03 5.371214e-02 3.321843e-03 8.462702e-02 9.649786e-03 6.747298e-03 1.242898e-04 2.803034e-02 2.581690e-04 4.852871e-02 4.469660e-04 6.270295e-02 5.775156e-04 7.293891e-02 6.717922e-04
0.001825 T17-2891 2.578036e-03 1.289018e-03 4.264890e-03 2.132445e-03 5.918547e-03 2.959273e-03 2.024095e-03 1.012048e-03 8.915167e-03 4.457583e-03 2.299655e-02 3.523271e-03 3.756743e-02 1.005988e-02 3.150858e-03 1.160819e-04 5.840412e-03 3.227531e-04 1.683970e-02 4.652981e-04 2.503688e-02 4.611964e-04 3.139513e-02 8.674794e-04
0.001825 T17-2851 1.126487e-02 5.632433e-03 4.204795e-02 1.321475e-02 3.262868e-02 1.200995e-02 2.881761e-02 1.013497e-02 5.797754e-02 7.675789e-03 9.107134e-02 3.625663e-03 1.001918e-01 9.222966e-03 9.638218e-03 1.775425e-04 4.402068e-02 4.054454e-04 7.230890e-02 6.659896e-04 9.799723e-02 9.025879e-04 1.050396e-01 9.674501e-04
0.001825 T17-2911 8.669175e-03 4.334588e-03 4.117608e-02 1.406801e-02 3.352107e-02 1.219556e-02 4.105199e-02 9.163747e-03 7.219709e-02 7.245758e-03 1.283983e-01 3.582841e-03 1.475101e-01 9.135544e-03 7.813785e-03 1.439352e-04 5.166909e-02 4.758899e-04 9.151183e-02 8.428551e-04 1.312040e-01 1.208433e-03 1.420273e-01 1.308120e-03
0.001825 T17-2913 6.366519e-03 3.183260e-03 6.131045e-04 3.065523e-04 7.497934e-04 3.748967e-04 3.471295e-03 1.735647e-03 6.890997e-03 3.445499e-03 1.542158e-02 3.749503e-03 3.913709e-02 9.651895e-03 1.676079e-03 1.080608e-04 7.599622e-03 3.499755e-04 1.358836e-02 3.754603e-04 1.826913e-02 5.047946e-04 2.109572e-02 7.771949e-04
0.001825 T17-2889 7.851947e-03 3.925973e-03 3.604503e-03 1.802251e-03 9.863299e-04 4.931650e-04 2.238579e-02 9.047017e-03 1.881380e-02 8.425948e-03 3.051682e-02 3.455602e-03 3.933637e-02 9.221038e-03 4.990870e-03 1.379028e-04 1.560785e-02 2.875072e-04 2.537369e-02 4.674006e-04 3.221770e-02 5.934719e-04 3.515887e-02 6.476504e-04
0.001825 T17-2976 1.035301e-02 5.176507e-03 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 0.000000e+00 9.900000e+01 5.679057e-03 2.839529e-03 2.941935e-02 3.926203e-03 2.925556e-02 9.135648e-03 1.795815e-03 1.157805e-04 8.691082e-03 3.201913e-04 1.904329e-02 3.507903e-04 2.578952e-02 4.750604e-04 2.849863e-02 7.874461e-04
0.001825 T17-2962 5.715861e-02 9.961855e-03 6.168085e-02 1.484761e-02 1.033027e-01 1.263820e-02 9.763273e-02 1.200063e-02 1.404980e-01 1.342480e-02 1.982664e-01 1.744690e-02 1.240637e-01 2.919726e-02 3.817568e-02 3.516110e-04 1.447160e-01 1.332884e-03 2.065892e-01 1.902757e-03 2.606266e-01 2.400460e-03 2.885173e-01 2.657342e-03
0.001825 T17-2227 4.407150e-04 2.203575e-04 0.000000e+00 9.900000e+01 2.060063e-02 1.030031e-02 1.671724e-02 8.358619e-03 2.168777e-02 8.339367e-03 3.792332e-02 3.672259e-03 5.443945e-02 1.033852e-02 6.442739e-03 1.186796e-04 2.072467e-02 3.817624e-04 3.465604e-02 3.191939e-04 5.148109e-02 4.741583e-04 5.366473e-02 4.942704e-04
0.001825 T17-2198 4.019508e-04 2.009754e-04 2.663758e-02 1.331879e-02 1.783713e-02 8.918564e-03 2.752514e-02 1.015320e-02 3.170431e-02 7.873099e-03 3.366224e-02 3.918304e-03 4.619527e-02 1.121264e-02 6.080826e-03 1.120130e-04 2.064074e-02 3.802165e-04 2.662934e-02 4.905306e-04 3.705240e-02 3.412652e-04 3.686328e-02 6.790467e-04
0.001825 T17-2369 1.848431e-02 8.350767e-03 2.471928e-02 1.235964e-02 1.992613e-02 9.963067e-03 3.113802e-02 8.980004e-03 4.676003e-02 7.372013e-03 5.342430e-02 3.507020e-03 7.522728e-02 9.373500e-03 8.677054e-03 7.991862e-05 2.680463e-02 2.468798e-04 4.633708e-02 4.267803e-04 6.016235e-02 5.541157e-04 6.114220e-02 5.631404e-04
