recno,T17ID,oldID,RAJ2000,DEJ2000,Prob,Rgc,PA,umag,gmag,rmag,imag,zmag,e_umag,s_umag,e_gmag,s_gmag,e_rmag,s_rmag,e_imag,s_imag,e_zmag,s_zmag
2280,T17-2280," ",201.99824999999998,-42.10869166666666,1.0,66.54,43.15,23.8,21.85,21.21,20.8,20.68,0.08,0.17,0.04,0.11,0.03,0.12,0.03,0.07,0.04,0.1
2389,T17-2389," ",202.1960833333333,-41.98568055555555,1.0,79.57,47.25,23.21,21.19,20.58,20.14,20.0,0.04,0.13,0.02,0.06,0.02,0.09,0.02,0.05,0.02,0.06
2380,T17-2380," ",202.1863333333333,-41.950444444444436,1.0,80.87,45.94,22.27,20.29,19.38,18.88,18.77,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2295,T17-2295," ",202.0330833333333,-41.99766666666666,1.0,73.23,41.35,22.23,20.62,19.96,19.64,19.46,0.02,0.09,0.01,0.05,0.01,0.09,0.01,0.04,0.01,0.05
2398,T17-2398," ",202.22516666666664,-41.923161111111106,1.0,83.59,46.53,23.37,21.46,20.79,20.18,20.1,0.05,0.13,0.03,0.08,0.02,0.1,0.02,0.05,0.02,0.07
2410,T17-2410," ",202.25104166666665,-41.912299999999995,0.33,85.06,47.09,22.69,21.37,20.79,20.44,20.37,0.03,0.1,0.02,0.07,0.02,0.1,0.02,0.06,0.03,0.08
2476,T17-2476," ",202.39254166666663,-41.83351944444444,1.0,94.13,49.31,23.71,22.16,21.56,21.13,21.02,0.06,0.16,0.05,0.13,0.04,0.12,0.04,0.1,0.05,0.11
2463,T17-2463," ",202.36091666666664,-41.79093611111111,1.0,94.87,47.4,21.8,20.07,19.36,18.94,18.94,0.01,0.08,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
2401,T17-2401," ",202.23349999999996,-41.781524999999995,1.0,90.71,43.26,23.57,21.58,20.81,20.33,20.25,0.05,0.14,0.03,0.08,0.02,0.1,0.02,0.06,0.02,0.08
2430,T17-2430," ",202.29729166666664,-41.765788888888885,1.0,93.72,44.92,22.66,21.36,20.56,19.94,19.85,0.02,0.1,0.02,0.07,0.02,0.09,0.01,0.04,0.02,0.05
2437,T17-2437," ",202.30987499999998,-41.73134999999999,1.0,95.83,44.51,23.55,21.98,20.96,20.28,20.13,0.05,0.14,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.07
2222,T17-2222," ",201.8965833333333,-41.93838611111111,1.0,72.26,33.47,23.01,21.76,21.03,20.57,20.49,0.03,0.12,0.03,0.09,0.02,0.11,0.02,0.06,0.03,0.09
2189,T17-2189," ",201.85824999999997,-41.93931388888888,1.0,71.23,31.55,22.48,20.45,19.56,19.11,19.01,0.02,0.1,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.03
2201,T17-2201," ",201.87654166666664,-41.924408333333325,1.0,72.5,32.13,22.59,20.78,19.96,19.49,19.42,0.02,0.1,0.02,0.05,0.01,0.09,0.01,0.03,0.01,0.04
2195,T17-2195," ",201.8664583333333,-41.90465,1.0,73.32,31.15,23.27,21.69,20.84,20.25,20.04,0.04,0.13,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.06
2286,T17-2286," ",202.01112499999996,-41.80032222222221,1.0,82.77,35.42,22.77,20.85,20.11,19.65,19.6,0.03,0.1,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
2271,T17-2271," ",201.9757083333333,-41.76615555555555,1.0,83.63,33.16,20.5,18.43,17.86,17.27,17.29,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2427,T17-2427," ",202.28941666666663,-41.609899999999996,1.0,101.12,41.26,23.35,22.0,20.84,20.28,20.03,0.04,0.13,0.04,0.11,0.02,0.1,0.02,0.06,0.02,0.06
2406,T17-2406," ",202.24362499999998,-41.589663888888886,1.0,100.67,39.41,24.14,22.32,21.46,20.94,20.88,0.08,0.19,0.06,0.14,0.03,0.12,0.03,0.08,0.04,0.11
2319,T17-2319," ",202.0777083333333,-41.666283333333325,0.27,91.74,35.19,23.21,21.87,21.27,20.9,20.81,0.04,0.13,0.04,0.11,0.03,0.12,0.03,0.08,0.04,0.11
2296,T17-2296," ",202.0344583333333,-41.62786388888888,1.0,92.64,32.77,24.13,22.72,21.8,21.3,21.15,0.08,0.19,0.07,0.17,0.05,0.14,0.04,0.11,0.05,0.11
2302,T17-2302," ",202.04999999999998,-41.59291666666666,1.0,94.93,32.71,22.8,21.26,20.63,20.13,20.09,0.03,0.1,0.02,0.07,0.02,0.09,0.02,0.05,0.02,0.06
2347,T17-2347," ",202.13720833333332,-41.57639166666666,1.0,98.18,35.58,23.55,21.45,20.55,19.94,19.73,0.04,0.14,0.02,0.08,0.02,0.1,0.01,0.04,0.02,0.05
1414,T17-1414," ",201.2822083333333,-42.0959861111111,1.0,55.61,353.1,24.21,22.24,21.46,20.93,20.86,0.08,0.19,0.05,0.14,0.03,0.12,0.03,0.08,0.04,0.1
1424,T17-1424," ",201.2893333333333,-41.978424999999994,1.0,62.61,354.41,21.87,19.85,19.05,18.56,18.54,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.02
2022,T17-2022," ",201.6057083333333,-41.94195277777777,1.0,66.22,16.72,23.26,21.43,20.69,20.05,20.0,0.05,0.13,0.02,0.08,0.02,0.1,0.01,0.05,0.02,0.05
2085,T17-2085," ",201.6835833333333,-41.83476388888889,1.0,73.59,19.85,22.46,20.55,19.74,19.24,19.19,0.02,0.1,0.01,0.05,0.01,0.08,0.01,0.03,0.01,0.03
2136,T17-2136," ",201.77049999999997,-41.798002777777775,1.0,77.2,24.01,23.41,21.33,20.36,19.8,19.65,0.05,0.14,0.02,0.07,0.01,0.09,0.01,0.04,0.01,0.05
1904,T17-1904," ",201.51362499999996,-41.830769444444435,1.0,71.86,9.52,23.37,21.32,20.46,19.87,19.73,0.04,0.13,0.02,0.07,0.01,0.09,0.01,0.04,0.01,0.05
1938,T17-1938," ",201.53012499999997,-41.82055555555555,1.0,72.59,10.47,23.51,21.65,20.85,20.19,20.11,0.05,0.14,0.03,0.09,0.02,0.1,0.02,0.05,0.02,0.06
1878,T17-1878," ",201.5028333333333,-41.782083333333325,1.0,74.68,8.5,22.77,21.36,20.68,20.05,20.03,0.03,0.1,0.02,0.07,0.02,0.1,0.01,0.05,0.02,0.06
2056,T17-2056," ",201.64679166666664,-41.77846944444444,1.0,76.33,16.94,23.11,21.5,21.01,20.42,20.4,0.04,0.12,0.03,0.08,0.02,0.11,0.02,0.06,0.02,0.08
1265,T17-1265," ",201.2145833333333,-41.954649999999994,1.0,64.5,349.24,22.69,21.22,20.63,20.12,20.15,0.03,0.1,0.02,0.07,0.02,0.1,0.02,0.05,0.02,0.06
1380,T17-1380," ",201.26704166666664,-41.92350555555555,1.0,66.0,353.14,22.83,20.8,19.76,19.14,18.98,0.03,0.11,0.02,0.05,0.01,0.08,0.01,0.03,0.01,0.03
1219,T17-1219," ",201.18287499999997,-41.91871111111111,1.0,66.92,347.46,22.57,20.97,20.18,19.48,19.4,0.03,0.1,0.02,0.06,0.01,0.09,0.01,0.03,0.01,0.04
1601,T17-1601," ",201.37862499999997,-41.80884722222222,1.0,72.62,0.86,22.14,20.03,19.33,18.85,18.82,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.02,0.01,0.03
1519,T17-1519," ",201.3315833333333,-41.81524166666666,1.0,72.26,357.86,22.87,21.27,20.62,20.1,20.06,0.03,0.11,0.02,0.07,0.02,0.1,0.01,0.05,0.02,0.06
1247,T17-1247," ",201.20220833333332,-41.82200555555555,1.0,72.49,349.66,22.03,20.52,19.94,19.48,19.43,0.02,0.09,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
1410,T17-1410," ",201.28166666666664,-41.63819722222222,1.0,83.01,355.38,22.99,21.09,20.46,20.03,19.96,0.03,0.11,0.02,0.06,0.02,0.09,0.01,0.05,0.02,0.05
1810,T17-1810," ",201.47216666666665,-41.658383333333326,1.0,81.9,6.01,23.63,22.29,21.63,21.03,20.96,0.06,0.16,0.05,0.14,0.04,0.13,0.03,0.1,0.04,0.1
1915,T17-1915," ",201.5200833333333,-41.61505833333333,1.0,84.76,8.4,23.1,21.35,20.73,20.32,20.23,0.04,0.12,0.02,0.07,0.02,0.1,0.02,0.06,0.02,0.07
1675,T17-1675," ",201.4122083333333,-41.58678055555555,1.0,85.99,2.52,22.72,21.5,21.0,20.61,20.57,0.03,0.1,0.03,0.08,0.02,0.1,0.02,0.07,0.03,0.08
1851,T17-1851," ",201.4885833333333,-41.495238888888885,1.0,91.73,6.18,21.88,20.46,19.82,19.36,19.33,0.01,0.09,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
1692,T17-1692," ",201.4203333333333,-41.47845833333333,1.0,92.5,2.74,22.96,21.62,20.97,20.35,20.39,0.03,0.11,0.03,0.09,0.02,0.1,0.02,0.06,0.02,0.07
2153,T17-2153," ",201.78883333333332,-41.76823888888888,1.0,79.24,24.43,23.78,22.27,21.45,21.0,20.72,0.07,0.16,0.06,0.14,0.04,0.12,0.03,0.1,0.04,0.1
2140,T17-2140," ",201.7748333333333,-41.74395277777777,1.0,80.36,23.3,22.07,20.38,19.78,19.36,19.34,0.02,0.09,0.01,0.04,0.01,0.08,0.01,0.03,0.01,0.04
2163,T17-2163," ",201.80049999999997,-41.75216944444444,1.0,80.38,24.74,22.94,21.42,20.83,20.17,20.15,0.03,0.11,0.03,0.08,0.02,0.1,0.02,0.06,0.02,0.06
2164,T17-2164," ",201.8024583333333,-41.62176944444444,1.0,87.85,22.72,23.52,21.6,20.87,20.39,20.23,0.05,0.14,0.03,0.08,0.02,0.1,0.02,0.06,0.02,0.07
2187,T17-2187," ",201.85637499999999,-41.66860277777777,1.0,86.23,25.97,22.64,21.29,20.85,20.4,20.35,0.02,0.1,0.02,0.07,0.02,0.1,0.02,0.06,0.02,0.07
2247,T17-2247," ",201.9407083333333,-41.58508888888888,1.0,92.71,28.22,23.71,22.36,21.59,21.04,20.98,0.06,0.16,0.06,0.14,0.04,0.12,0.04,0.08,0.04,0.1
2044,T17-2044," ",201.6287083333333,-41.61730555555555,1.0,85.58,14.12,20.68,19.18,18.62,18.15,18.17,0.01,0.08,0.01,0.03,0.01,0.08,0.01,0.02,0.01,0.02
2203,T17-2203," ",201.878,-41.508691666666664,1.0,95.71,24.39,22.72,21.44,20.87,20.35,20.29,0.03,0.1,0.02,0.08,0.02,0.1,0.02,0.06,0.02,0.07
2106,T17-2106," ",201.71904166666664,-41.511222222222216,1.0,92.93,17.4,22.91,21.08,20.33,19.94,19.77,0.03,0.11,0.02,0.06,0.01,0.09,0.01,0.04,0.01,0.05
2274,T17-2274," ",201.9850833333333,-41.57506944444444,1.0,94.29,29.85,21.99,20.54,19.83,19.42,19.37,0.01,0.09,0.01,0.05,0.01,0.09,0.01,0.03,0.01,0.04
2283,T17-2283," ",202.00341666666665,-41.49795555555555,1.0,98.98,29.26,22.75,21.38,20.79,20.32,20.23,0.03,0.1,0.03,0.07,0.02,0.1,0.02,0.06,0.02,0.07
