# redshift id F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
0.001825 T17-2264 1.583625e-02 7.918126e-03 2.707574e-02 1.353787e-02 1.315208e-02 6.576039e-03 9.460020e-03 4.730010e-03 2.738460e-02 7.525704e-03 4.907409e-02 4.119418e-03 7.060360e-02 1.006961e-02
0.001825 T17-2315 2.942510e-02 8.967520e-03 0.000000e+00 9.900000e+01 3.587360e-02 1.297461e-02 2.685250e-02 1.024178e-02 4.267825e-02 8.482030e-03 6.054379e-02 4.591516e-03 6.833788e-02 1.172388e-02
0.001825 T17-2324 1.511815e-02 7.559073e-03 5.937267e-03 2.968633e-03 2.391617e-03 1.195808e-03 8.999284e-03 4.499642e-03 1.281535e-02 6.407677e-03 3.203940e-02 3.911291e-03 4.245086e-02 1.066481e-02
0.001825 T17-2522 2.523458e-02 8.126939e-03 2.773328e-02 1.386664e-02 5.778841e-02 1.243835e-02 6.530309e-02 8.964542e-03 7.964918e-02 8.033938e-03 1.164288e-01 3.685723e-03 1.217471e-01 9.144929e-03
0.001825 T17-2557 0.000000e+00 9.900000e+01 1.106665e-02 5.533324e-03 0.000000e+00 9.900000e+01 2.546729e-02 1.030786e-02 3.789832e-02 7.867643e-03 6.045589e-02 3.623106e-03 1.027703e-01 9.458263e-03
0.001825 T17-2596 2.039017e-02 9.290643e-03 1.737343e-02 8.686713e-03 3.482499e-02 1.148127e-02 6.337845e-02 9.674982e-03 8.848030e-02 7.167175e-03 1.239830e-01 7.042749e-03 1.360269e-01 1.968428e-02
0.001825 T17-2602 3.454700e-02 9.145662e-03 2.598804e-02 1.299402e-02 4.885384e-02 1.197589e-02 5.370810e-02 9.570417e-03 1.103265e-01 7.838454e-03 1.503764e-01 3.944374e-03 1.983930e-01 9.664220e-03
0.001825 T17-2614 1.118827e-02 5.594137e-03 1.796089e-02 8.980444e-03 8.425252e-03 4.212626e-03 0.000000e+00 9.900000e+01 1.796395e-02 7.183742e-03 4.096496e-02 3.815110e-03 4.835282e-02 8.795166e-03
0.001825 T17-2687 2.481011e-02 8.776493e-03 2.666799e-02 1.333400e-02 1.855732e-02 9.278661e-03 2.261287e-02 9.981262e-03 3.542453e-02 7.551758e-03 6.817917e-02 3.778327e-03 8.737550e-02 1.018940e-02
0.001825 T17-2636 1.973975e-02 9.326684e-03 1.239667e-02 6.198333e-03 3.030819e-02 1.246416e-02 9.454948e-03 4.727474e-03 6.056770e-02 8.218098e-03 8.865919e-02 3.996432e-03 1.345485e-01 1.117114e-02
0.001825 T17-2736 0.000000e+00 9.900000e+01 1.222976e-02 6.114878e-03 3.873882e-03 1.936941e-03 1.549861e-02 7.749306e-03 5.697550e-03 2.848775e-03 2.556534e-02 3.551051e-03 5.200720e-02 8.546469e-03
0.001825 T17-2732 5.686508e-03 2.843254e-03 6.762236e-03 3.381118e-03 4.019350e-03 2.009675e-03 1.468208e-02 7.341042e-03 3.524956e-02 1.027340e-02 6.020464e-02 5.764647e-03 7.023616e-02 1.196932e-02
0.001825 T17-2743 2.995500e-02 8.612084e-03 1.693033e-02 8.465163e-03 6.300274e-02 1.105136e-02 5.129871e-02 1.107343e-02 9.033424e-02 9.133214e-03 1.392552e-01 4.355719e-03 1.568958e-01 1.048008e-02
0.001825 T17-2644 5.320891e-03 2.660446e-03 0.000000e+00 9.900000e+01 2.850603e-03 1.425302e-03 2.449600e-02 1.020143e-02 4.371502e-02 7.340165e-03 6.685489e-02 4.004550e-03 1.011251e-01 9.132669e-03
0.001825 T17-2686 9.333168e-03 4.666584e-03 7.078221e-03 3.539111e-03 1.207849e-02 6.039244e-03 1.177161e-02 5.885803e-03 2.629109e-02 9.248421e-03 4.842281e-02 3.305439e-03 6.395660e-02 9.078639e-03
0.001825 T17-2649 9.785189e-03 4.892594e-03 2.072848e-04 1.036424e-04 1.991237e-03 9.956185e-04 6.142263e-03 3.071131e-03 6.157823e-03 3.078911e-03 2.552075e-02 3.717528e-03 2.770165e-02 8.940895e-03
0.001825 T17-2674 1.121900e-02 5.609499e-03 0.000000e+00 9.900000e+01 1.295418e-02 6.477088e-03 1.540768e-02 7.703842e-03 2.470495e-02 7.190776e-03 4.047025e-02 3.717940e-03 5.017280e-02 8.887308e-03
0.001825 T17-2647 8.009957e-03 4.004979e-03 1.255317e-02 6.276587e-03 7.078727e-03 3.539364e-03 6.767944e-03 3.383972e-03 3.174237e-02 9.110392e-03 3.823783e-02 3.620565e-03 4.219922e-02 9.543136e-03
0.001825 T17-2697 1.544024e-03 7.720120e-04 7.305372e-03 3.652686e-03 0.000000e+00 9.900000e+01 2.264229e-02 1.064976e-02 2.015801e-02 7.823669e-03 2.771906e-02 3.610028e-03 2.161853e-02 9.760275e-03
0.001825 T17-2692 1.891209e-02 8.703253e-03 2.495156e-02 1.247578e-02 3.366252e-02 1.239951e-02 3.143131e-02 1.017288e-02 5.967269e-02 7.811728e-03 9.310702e-02 3.637134e-03 1.178762e-01 1.067333e-02
0.001825 T17-2726 2.561160e-02 7.689344e-03 4.795200e-02 1.451990e-02 3.472984e-02 1.040262e-02 3.604815e-02 9.683736e-03 8.709953e-02 7.811638e-03 1.468163e-01 3.910811e-03 1.910693e-01 1.028563e-02
0.001825 T17-2733 2.021119e-02 8.966248e-03 0.000000e+00 9.900000e+01 1.221643e-02 6.108213e-03 7.190793e-03 3.595397e-03 2.295519e-02 7.896665e-03 2.482811e-02 3.882082e-03 3.748851e-02 9.264380e-03
