ra,dec,flux_aperture,mag_inst,gaia_idx,gaia_G,gaia_BP,gaia_RP,gaia_Plx,gaia_pmRA,gaia_pmDE,gaia_e_Gmag,gaia_RUWE,distance_arcsec
202.91156660583061,-45.53462362357173,3.0488202970957063,18.789670432392768,9492,16.398357,17.962328,15.190154,8.4616,-86.046,-75.632,0.002843,1.019,0.7511056841875094
202.6092424583925,-45.53422016367857,4.057108033078938,18.47945856923512,5319,18.561123,18.983362,17.956295,0.1618,-9.786,-1.764,0.003589,1.032,0.44036533175299497
202.03397358836838,-45.531798745009404,0.1544455843846252,22.028061258571004,7395,18.754585,19.97055,17.692564,1.5433,-9.304,1.534,0.003585,0.995,0.451386470765862
201.83802773501594,-45.5298573926648,1.21527808337566,19.788310835410165,5654,18.679115,19.663633,17.74139,0.741,-8.042,3.909,0.003583,1.016,0.998793528008523
202.84271935647465,-45.534211918888545,9.905021287170367,17.510361466912748,10557,18.024496,18.335478,17.364363,0.1667,-5.431,-1.739,0.003087,1.096,0.16324875669991123
202.6547473762401,-45.53409749007984,100.94047225212572,14.989836669353169,5306,15.150393,15.573252,14.561391,0.4697,-12.389,-2.118,0.002776,0.908,0.1765713079901695
201.90318255972778,-45.53009795053636,23.876167874365283,16.555088440561477,5639,16.900526,17.284077,16.34873,0.3103,-7.352,-2.68,0.002891,0.949,0.24315711967402182
202.84270602655715,-45.53426746725843,9.954024883828064,17.50500319475979,10557,18.024496,18.335478,17.364363,0.1667,-5.431,-1.739,0.003087,1.096,0.3278441453893709
202.67602942167528,-45.534077428477374,30.636137118195922,16.28441498842505,5093,16.15739,16.660612,15.504766,0.9794,-4.732,-2.089,0.002819,0.911,0.18498571030584068
202.97994829578602,-45.53396304676203,14.956616790694786,17.062916583567997,9559,17.247007,17.660892,16.627827,0.3257,-8.838,-1.148,0.002916,1.05,0.08618173992735202
202.86592798634152,-45.53404733596624,4.5205349358927265,18.362025425137734,9500,18.488089,18.92262,17.693111,0.7829,-12.042,-7.079,0.004492,1.294,0.33680148028931894
202.80305574318905,-45.533980734163784,19.52550790555456,16.773494150636367,10569,17.08178,17.473173,16.539587,0.2238,-4.188,1.349,0.002878,0.947,0.21567610228360404
202.3509833390259,-45.532789819079355,12.61715104189891,17.247596744746048,6127,17.688873,18.1083,17.129702,0.591,-5.79,-3.554,0.003075,1.072,0.2843397775307003
202.8688749679768,-45.53390067206675,6.094198318184261,18.037708542523642,9499,18.38157,18.742363,17.77226,0.1449,-5.862,0.635,0.003287,1.06,0.17843424672300526
202.1396016819924,-45.53146157972625,25.222179308855125,16.495543477896327,6331,15.472207,16.280666,14.592422,2.6422,-16.306,-7.412,0.002785,1.061,0.34593656246740156
203.25954251019763,-45.53306556095624,24.887105221903163,16.510064040039705,1332,18.523039,18.856304,17.814663,0.3016,-8.796,1.06,0.003444,0.909,0.3831427212586572
202.99201143908329,-45.53356980277771,679.9201329718803,12.91885524708244,9560,13.417323,13.727856,12.944717,1.3205,-24.268,-1.308,0.002763,0.998,0.18518776830903455
202.3547724553064,-45.53258854123075,9.502418065658961,17.555414665991222,6124,17.631714,18.14917,16.984043,0.484,-5.262,7.098,0.003063,1.055,0.43669983992382505
203.09079164570025,-45.53327603328885,10.332390264146802,17.464497996179066,9319,17.421991,17.966322,16.726753,0.2317,-3.483,-3.306,0.002937,0.985,0.37962048363666234
