source_id,ra,dec,spectrum_file,mag_F378,mag_F395,mag_F410,mag_F430,mag_F515,mag_F660,mag_F861,flux_F378,flux_F395,flux_F410,flux_F430,flux_F515,flux_F660,flux_F861,distance_arcsec,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag,gaia_ruwe,gaia_parallax,gaia_pmra,gaia_pmdec
6087655382291844480,203.07998669380106,-44.250371351276556,,-3.6372274187983273,-3.775944047803538,-5.137526266310335,-5.435321223071259,-6.232898686486331,-6.322664840774419,-7.256218417938767,28.503025904934063,32.38751440248415,113.50382743743505,149.32361291648988,311.2859181059954,338.11616644597075,798.8907030741327,0.2565098395281387,14.657679,15.174746,13.969515,1.009271,0.0926286540437195,-6.386707576053765,-4.369030515080715
6087325597522070656,203.0111668572847,-45.517617095623244,,-3.637142060788227,-3.9142279257031314,-5.658994520226756,-6.0152328811923,-7.0868781424236325,-7.362924185651307,-8.327490684507183,28.500785152596535,36.78672877147943,183.48383471972085,254.73765846279088,683.520047677077,881.3931567334216,2142.8722154419547,0.2954935518426279,13.616893,14.245214,12.856078,1.0766953,0.1995509321059511,-7.217531410966838,-4.182200929819601
6087418025218184832,203.04276242748705,-44.82230324800045,,-3.6363891506909933,-3.731424657796513,-5.367889833803986,-5.574639595347001,-6.37409592229588,-6.387600663138979,-7.169601228475511,28.481027968231636,31.086359356496864,140.3317475540524,169.76800226052842,354.5180639456346,358.95521333956697,737.6332608432266,0.043015301348504745,14.538483,14.9760895,13.928133,0.97959787,0.684970589235042,-11.581308834917497,-2.761145779627231
6087282029373400832,201.89773863951308,-45.500805083521136,,-3.6358797026647154,-3.784308407414378,-5.3784900179500585,-5.5735742991918045,-6.28127477006839,-6.192662858451177,-6.905514404585045,28.46766726434892,32.63798683948018,141.70853464438892,169.60151199883154,325.46920869263863,299.96124216388097,578.3700050328508,0.41961867872962755,14.695949,15.079364,14.143205,0.9894488,0.8808781930154351,-10.020756543616407,-2.090153601899393
6087512720657075200,201.90396208276962,-45.11586105572088,,-3.6358781898466113,-3.8675337701615304,-5.6728644740977465,-6.014808113309086,-7.078496114105449,-7.315272496061171,-8.242764378347694,28.467627598754063,35.23818311691212,185.84282118245198,254.63801804177461,678.26349847805,843.5464429224305,1982.0095892728878,0.4200314477873911,13.641745,14.236366,12.904829,0.976908,0.15440262366248242,-8.869108678875929,0.5314976228933324
6087455820930254592,203.4389996464284,-44.39891203619802,,-3.635033769554503,-3.7792678205034145,-5.223993661697043,-5.453915345508151,-6.027106291079045,-5.794215071568155,-6.461700534591631,28.445495798390994,32.48681446905799,122.91289976388575,151.90292556227664,257.5387102547715,207.81937224597462,384.30869794731746,0.2981328487168861,15.118427,15.417747,14.644753,0.9541071,0.3889932048467286,-8.96569338716024,3.179753297384918
6087358479791031680,203.40234878788058,-45.25263084719229,,-3.634135595530861,-3.8744804058873323,-5.205251679468168,-5.403053126762321,-5.823791651572998,-5.464858523248234,-6.083656312283225,28.4219740253078,35.464362899107385,120.80938452762646,144.95101163385226,213.55840108527207,153.4417027708754,271.30795315672805,0.3468319452255213,15.347174,15.585741,14.947709,0.99723315,0.32128844872180384,-1.3305576539142423,-5.578230525239473
6087675826335303168,202.38918835720412,-44.36567905678754,,-3.6340104522641994,-4.066846829294163,-5.842374668058692,-6.261339409753553,-7.368604944822488,-7.678477026156049,-8.59527648371407,28.418698263032216,42.33881822844274,217.24503876134787,319.5477499712361,886.0168432319464,1178.6661478651472,2742.2724051884975,0.1748293864056422,13.3162565,13.927147,12.5686,1.0777488,0.4740211264346254,-5.2364507034169305,-5.393695198701304
6087472279244954240,201.8455963283286,-45.34467591448696,,-3.633381825891929,-3.7206002246218466,-5.229407597948404,-5.409111488429338,-6.204182881600153,-6.222301661147212,-7.085223458147523,28.40224898889658,30.777978351998605,123.52732567135224,145.76209288497895,303.1608755299859,308.26247746761334,682.4791424674515,0.41333715585777503,14.689577,15.168373,14.035228,1.0691313,0.10330065352055516,-5.264507764216166,-3.1203652584473227
6087396962697728640,202.77922772013747,-45.08794302744493,,-3.6332884709543505,-3.7396355548432174,-5.273037830108588,-5.502861883769259,-6.1792702550370935,-6.076043359437405,-6.7914378446574055,28.39980698117734,31.322341620917783,128.59234970517463,158.90763110248275,296.2839336725307,269.4122530093282,520.6850854247732,0.2630165758179319,14.816354,15.18973,14.269973,1.032219,1.0369564352893863,-26.56115901417271,-15.099243345719223
