source_id,filter,ra,dec,x,y,flux,flux_err,mag,mag_err,snr,aper_radius_arcsec,aper_radius_pixels
T17-2731,F430,202.9363333333333,-44.41698333333333,5253.676088783398,8175.5428411928915,4.990296270368777,0.8234935640265155,21.774684174635535,0.17916707313708688,6.059909255354053,3.0,5.454545454545454
T17-2856,F430,203.2530833333333,-44.44150277777777,3773.494848578216,8011.228031290879,3.4823349301385305,0.7317786304978005,22.165323652176752,0.22815684560478985,4.7587272776326275,3.0,5.454545454545454
T17-2741,F430,202.9693333333333,-44.409613888888885,5099.340012860611,8223.651515376387,2.7543158590548815,0.7224382393117893,22.419965643150917,0.2847811915049131,3.812527783245117,3.0,5.454545454545454
T17-2932,F430,203.48475,-44.26152222222222,2682.1062857343795,9182.945935484262,2.3206654618617106,0.7511303157271941,22.605968653103016,0.35142048333936765,3.0895643715498258,3.0,5.454545454545454
T17-2753,F430,203.00375,-44.36922777777777,4938.020567731155,8487.810289965368,4.633843493685303,0.7264059115053144,21.855146596076303,0.17020108653786387,6.379137917645377,3.0,5.454545454545454
T17-2585,F430,202.6370833333333,-44.23965555555555,6656.287383011221,9334.66379084723,3.5310111926454364,0.7335358482815723,22.150252264505987,0.22555194093581618,4.813685930847699,3.0,5.454545454545454
T17-2550,F430,202.5809583333333,-44.18536111111111,6920.8164632957,9689.205900080273,3.8231904855750107,0.7425701366219599,22.063935158187327,0.2108802281614263,5.1485917585740255,3.0,5.454545454545454
T17-2519,F430,202.507,-44.19212777777777,7267.7721608854,9643.47450543992,5.453563464509253,0.735836188708056,21.6782990712584,0.14649577217736914,7.411382517193595,3.0,5.454545454545454
T17-2520,F430,202.509375,-44.123997222222215,7258.679619509109,10089.531696633696,12.26557471142314,0.7451966585733281,20.798280244581164,0.06596405067952733,16.459513834784858,3.0,5.454545454545454
T17-3019,F430,203.78204166666663,-44.21341944444444,1284.909471933981,9485.106695621902,6.2783687003546325,0.785687658421415,21.525382959313855,0.13587120748922954,7.9909218797823325,3.0,5.454545454545454
T17-2479,F515,202.39904166666665,-45.51761666666666,7722.728528344982,964.5008504201714,6.462773606909574,0.7864066409525623,22.323952643224423,0.1321151279121962,8.21810660078012,3.0,5.454545454545454
T17-2600,F515,202.66666666666663,-45.3468611111111,6498.195194701008,2087.663665119291,3.5317325873970273,0.7568698315917924,22.980030468437253,0.2326792751469485,4.666235117297976,3.0,5.454545454545454
T17-2352,F515,202.14154166666663,-45.24707777777777,8920.002790622208,2726.4474436458413,3.067555843742792,0.768911870989395,23.133018805888227,0.2721500435939569,3.9894765050195207,3.0,5.454545454545454
T17-2454,F515,202.3430833333333,-45.27316111111111,7990.041425994873,2563.0951079305128,3.774548274133238,0.7605818356987,22.90783753974925,0.21877882483543196,4.962711567606386,3.0,5.454545454545454
T17-2511,F515,202.4760833333333,-45.2631,7377.715745147672,2632.555963310478,5.74785804058065,0.7581063781492297,22.451234916303562,0.14320178682275284,7.5818621320835415,3.0,5.454545454545454
T17-2492,F515,202.4293333333333,-45.23053611111111,7594.29567168231,2844.5618376752413,2.6675699639043238,0.7589262854491904,23.28471045315225,0.3088930209908236,3.5149263045032795,3.0,5.454545454545454
T17-2517,F515,202.5028333333333,-45.17933055555555,7257.042513447415,3181.4937398373418,7.330828040168143,0.7522144954209404,22.187117419138886,0.11140712985591336,9.745661755781242,3.0,5.454545454545454
T17-2428,F515,202.29366666666664,-45.25270833333333,8218.64981238507,2695.379660104799,2.615684719102412,0.7659124788336963,23.306036511922404,0.3179201613530662,3.415122212247386,3.0,5.454545454545454
T17-2467,F515,202.36766666666665,-45.218263888888885,7879.081261649852,2923.1836688997364,2.86237450172467,0.7571252903120809,23.208183863729065,0.2871875566018814,3.7805823400045484,3.0,5.454545454545454
T17-2668,F515,202.81191666666663,-45.45665,5829.347594109908,1370.171222831128,3.5012924949605755,0.7674620610329587,22.989429017830872,0.23798678534886558,4.562170135482713,3.0,5.454545454545454
T17-2755,F515,203.0055833333333,-45.28956111111111,4938.472035251453,2463.6679981098214,2.626801002258004,0.7528106479013912,23.301432066697522,0.31115938171615054,3.4893249844177046,3.0,5.454545454545454
T17-2794,F515,203.06466666666665,-45.26204444444444,4665.98972110487,2643.2773403689475,5.44962798516829,0.7600923257417935,22.50908285875931,0.15143414546143374,7.169692155291607,3.0,5.454545454545454
T17-2756,F515,203.006,-45.21681388888888,4935.837036557141,2939.8552843289485,3.399835057121689,0.7486192897943276,23.021355380570473,0.2390713234183017,4.541474022203923,3.0,5.454545454545454
T17-2759,F515,203.0108333333333,-45.21297499999999,4913.511726127836,2964.9492982790343,8.599068817684174,0.7499876336387614,22.013871438529744,0.09469498898390913,11.465614140813948,3.0,5.454545454545454
T17-2630,F515,202.746625,-45.26478888888888,6131.258702667274,2625.710358596838,6.289902556010521,0.750408384359428,22.35339020662321,0.12953230101705288,8.381972652637375,3.0,5.454545454545454
T17-2658,F515,202.7985,-45.23445555555555,5892.476986378012,2824.596157201373,4.549193389072965,0.7508637521035948,22.705164001614914,0.1792053867082436,6.058613665033232,3.0,5.454545454545454
