# id redshift F0378 F0378_err F0395 F0395_err F0410 F0410_err F0430 F0430_err F0515 F0515_err F0660 F0660_err F0861 F0861_err
T17-2741 1.825000e-03 2.252605e-05 4.993832e-06 1.008956e-05 5.044780e-06 1.504031e-05 7.520153e-06 3.077300e-05 6.168202e-06 4.831142e-05 5.825551e-06 8.119745e-05 2.739359e-06 1.026199e-04 7.100628e-06
T17-2859 1.825000e-03 1.036664e-05 5.183319e-06 1.462773e-05 7.313865e-06 3.528963e-06 1.764481e-06 6.430594e-06 3.215297e-06 2.012848e-05 6.153627e-06 4.074353e-05 2.786432e-06 7.239716e-05 7.788025e-06
T17-2753 1.825000e-03 3.054017e-05 5.175684e-06 3.069811e-05 8.932409e-06 4.198812e-05 7.489402e-06 5.609263e-05 6.389087e-06 8.500235e-05 4.935527e-06 1.413503e-04 3.265969e-06 1.730396e-04 8.767016e-06
T17-2818 1.825000e-03 1.180197e-05 5.605997e-06 1.771029e-05 8.855146e-06 1.459654e-05 7.124292e-06 1.707270e-05 6.620014e-06 3.420881e-05 7.583227e-06 8.338718e-05 6.466439e-06 7.595316e-05 1.016583e-05
T17-2749 1.825000e-03 1.324664e-06 6.623319e-07 1.267196e-05 6.335981e-06 8.114515e-06 4.057258e-06 1.448980e-05 6.662603e-06 1.272342e-05 5.783658e-06 2.956996e-05 2.893399e-06 4.645182e-05 7.930467e-06
T17-2447 1.825000e-03 5.372054e-06 2.686027e-06 7.686286e-06 3.843143e-06 2.745133e-05 6.964395e-06 1.960786e-05 6.125949e-06 5.493850e-05 5.354252e-06 8.628414e-05 3.344228e-06 1.332975e-04 7.412969e-06
T17-2510 1.825000e-03 4.793449e-06 2.396725e-06 2.066028e-05 1.033014e-05 6.494695e-06 3.247348e-06 2.375042e-05 7.383797e-06 2.554639e-05 5.623916e-06 2.819703e-05 2.889960e-06 4.039819e-05 7.557407e-06
T17-2546 1.825000e-03 8.405144e-07 4.202572e-07 3.571035e-06 1.785518e-06 1.594317e-05 7.685146e-06 1.205567e-05 6.027836e-06 1.981728e-05 5.609288e-06 2.401695e-05 2.749214e-06 3.584208e-05 7.867315e-06
T17-2478 1.825000e-03 7.875566e-06 3.937783e-06 1.307831e-05 6.539154e-06 6.521508e-06 3.260754e-06 5.452450e-06 2.726225e-06 1.762372e-05 6.017357e-06 1.672476e-05 3.458312e-06 2.678588e-05 7.762184e-06
T17-2516 1.825000e-03 1.076298e-06 5.381490e-07 6.068118e-06 3.034059e-06 6.402070e-06 3.201035e-06 1.492377e-05 7.461886e-06 1.096083e-05 5.013270e-06 3.410144e-05 2.849514e-06 4.866437e-05 7.284578e-06
T17-2594 1.825000e-03 7.204775e-06 3.602388e-06 4.586017e-06 2.293008e-06 1.806458e-05 7.406514e-06 1.791780e-05 6.523715e-06 2.086487e-05 5.265323e-06 2.382688e-05 2.749218e-06 3.970311e-05 8.412452e-06
T17-2585 1.825000e-03 2.340216e-05 6.059199e-06 1.389449e-05 6.947244e-06 4.919088e-05 7.500009e-06 4.085929e-05 6.899807e-06 7.788666e-05 5.407290e-06 1.646960e-04 2.863923e-06 2.172750e-04 8.757191e-06
T17-2685 1.825000e-03 1.697295e-05 5.923230e-06 7.250049e-06 3.625025e-06 1.513053e-05 7.565267e-06 1.487132e-05 7.085854e-06 2.852281e-05 5.750861e-06 4.610272e-05 3.042801e-06 6.288870e-05 7.699246e-06
T17-2550 1.825000e-03 2.701109e-05 6.255095e-06 4.010797e-05 9.289736e-06 5.880912e-05 8.223325e-06 5.151251e-05 8.111402e-06 1.029989e-04 5.922232e-06 1.587558e-04 2.743322e-06 2.145389e-04 8.697273e-06
T17-2440 1.825000e-03 1.059081e-05 5.038629e-06 1.041250e-05 5.206252e-06 2.465108e-05 7.350436e-06 1.815403e-05 6.823689e-06 4.140526e-05 6.063035e-06 6.202006e-05 3.021177e-06 8.721689e-05 7.550135e-06
