Filter,Median_ZP,MAD,STD_MAD,Mean_ZP,STD,Mean_Clipped,Median_Clipped,STD_Clipped,N_Stars,Min,Max,Q25,Q75,Field
mag_F378,19.5688,0.0247,0.0367,19.5746,0.0449,19.5746,19.5688,0.0449,100,19.446,19.6981,19.549,19.5967,CenA22
mag_F395,19.6442,0.0321,0.0476,19.6415,0.0435,19.6415,19.6442,0.0435,100,19.5184,19.7299,19.6117,19.6705,CenA22
mag_F410,20.6203,0.0128,0.019,20.6188,0.0176,20.6187,20.6203,0.016,100,20.5689,20.6754,20.6057,20.6322,CenA22
mag_F430,20.6859,0.0121,0.018,20.6849,0.0182,20.6842,20.6858,0.0169,100,20.6439,20.7539,20.6717,20.6966,CenA22
mag_F515,21.019,0.0092,0.0136,21.017,0.0152,21.0168,21.019,0.0136,100,20.9743,21.0736,21.0087,21.0262,CenA22
mag_F660,20.5146,0.0079,0.0117,20.5144,0.0135,20.5138,20.5145,0.012,100,20.4881,20.5777,20.5063,20.5209,CenA22
mag_F861,21.1308,0.008,0.0119,21.1327,0.0125,21.1322,21.1307,0.0117,100,21.1103,21.1784,21.1246,21.139,CenA22
mag_F378,19.5053,0.0311,0.0461,19.5023,0.057,19.5,19.505,0.0521,100,19.383,19.7381,19.4673,19.5266,CenA21
mag_F395,19.6284,0.0345,0.0512,19.6315,0.0549,19.6292,19.6275,0.0502,100,19.5058,19.8587,19.5974,19.6675,CenA21
mag_F410,20.5162,0.0171,0.0253,20.5183,0.0327,20.5161,20.5161,0.0239,100,20.4627,20.7424,20.5025,20.5337,CenA21
mag_F430,20.7536,0.0164,0.0242,20.7525,0.0342,20.7507,20.7534,0.024,100,20.6373,20.9536,20.7346,20.7668,CenA21
mag_F515,20.9016,0.0139,0.0206,20.8996,0.0258,20.8991,20.9016,0.0217,100,20.8263,21.0212,20.885,20.9128,CenA21
mag_F660,20.4259,0.0092,0.0136,20.426,0.0204,20.4251,20.4259,0.0137,100,20.3654,20.5662,20.4169,20.435,CenA21
mag_F861,21.1172,0.0068,0.0101,21.1178,0.0183,21.1165,21.1171,0.0098,100,21.0481,21.2402,21.1099,21.1234,CenA21
mag_F378,19.4853,0.0342,0.0507,19.4907,0.0834,19.4811,19.4831,0.054,100,19.3363,20.0802,19.453,19.523,CenA09
mag_F395,19.6465,0.034,0.0504,19.6667,0.0813,19.6539,19.6454,0.042,100,19.4966,20.2206,19.6253,19.6915,CenA09
mag_F410,20.6781,0.016,0.0237,20.6861,0.0688,20.6763,20.6775,0.0227,100,20.618,21.2745,20.6633,20.694,CenA09
mag_F430,20.8905,0.0165,0.0245,20.8992,0.0616,20.8906,20.8892,0.0225,100,20.8333,21.4201,20.8748,20.9083,CenA09
mag_F515,21.0572,0.0135,0.0199,21.0666,0.0567,21.0582,21.0567,0.0165,100,21.0239,21.5702,21.0456,21.0722,CenA09
mag_F660,20.577,0.0112,0.0167,20.5787,0.0339,20.5754,20.5766,0.0149,100,20.4345,20.8162,20.5655,20.5864,CenA09
mag_F861,21.2015,0.0072,0.0107,21.2025,0.0294,21.2016,21.2011,0.0096,100,20.994,21.3716,21.1948,21.2088,CenA09
mag_F378,19.6645,0.0272,0.0403,19.6515,0.0962,19.6647,19.6655,0.0402,100,18.8721,19.777,19.6358,19.6904,CenA06
mag_F395,19.7409,0.0328,0.0487,19.7383,0.0754,19.7422,19.7409,0.0481,100,19.1804,19.9077,19.7123,19.7774,CenA06
mag_F410,20.7276,0.0138,0.0205,20.7261,0.0413,20.727,20.728,0.0195,100,20.4646,20.9724,20.7125,20.74,CenA06
mag_F430,20.985,0.0132,0.0196,20.9862,0.0348,20.985,20.985,0.0205,100,20.8546,21.2364,20.9715,20.998,CenA06
mag_F515,21.1343,0.0099,0.0147,21.1385,0.0337,21.1343,21.134,0.0141,100,21.0978,21.4122,21.1245,21.1449,CenA06
mag_F660,20.6339,0.0092,0.0136,20.6377,0.0245,20.6347,20.6329,0.0128,100,20.6063,20.8013,20.6256,20.644,CenA06
mag_F861,21.3511,0.0079,0.0117,21.3559,0.0265,21.3521,21.3509,0.0112,100,21.2937,21.5251,21.3443,21.3621,CenA06
mag_F378,19.3467,0.0317,0.047,19.3484,0.0498,19.3466,19.3466,0.0468,100,19.2159,19.524,19.3157,19.3774,CenA04
mag_F395,19.4939,0.0372,0.0552,19.4998,0.0564,19.4978,19.4938,0.0533,100,19.3788,19.6929,19.4571,19.5323,CenA04
mag_F410,20.4916,0.0199,0.0296,20.4981,0.0338,20.4963,20.4915,0.0287,100,20.4269,20.6768,20.4783,20.5165,CenA04
mag_F430,20.7023,0.0241,0.0357,20.7088,0.037,20.7072,20.7014,0.0334,100,20.6246,20.8708,20.6857,20.7315,CenA04
mag_F515,20.9015,0.0204,0.0302,20.9016,0.0284,20.9013,20.9015,0.0248,100,20.8167,21.0149,20.8813,20.9218,CenA04
mag_F660,20.4588,0.0154,0.0229,20.4617,0.0209,20.4607,20.4584,0.0183,100,20.4195,20.565,20.446,20.476,CenA04
mag_F861,21.153,0.0101,0.0149,21.1555,0.0151,21.1544,21.1523,0.0133,100,21.123,21.215,21.1449,21.164,CenA04
